========================================================
Phase: 1
========================================================
--------------------------------------------------------
Constraint: dynamics
--------------------------------------------------------
*************
Node: 1 
*************
          cl           yc           cu
0.00000000E+00 3.38218342E-12 0.00000000E+00
0.00000000E+00 -1.11466392E-12 0.00000000E+00
0.00000000E+00 1.18234311E-11 0.00000000E+00
0.00000000E+00 -2.03981276E-12 0.00000000E+00
0.00000000E+00 -5.57065505E-12 0.00000000E+00
0.00000000E+00 -2.28261854E-13 0.00000000E+00
0.00000000E+00 -2.39364084E-13 0.00000000E+00
0.00000000E+00 2.70006240E-13 0.00000000E+00
0.00000000E+00 -3.48610030E-13 0.00000000E+00
0.00000000E+00 -7.81666398E-14 0.00000000E+00
0.00000000E+00 -1.55431223E-15 0.00000000E+00
0.00000000E+00 -8.18983770E-13 0.00000000E+00
0.00000000E+00 -5.68434189E-13 0.00000000E+00
0.00000000E+00 1.38535017E-14 0.00000000E+00
0.00000000E+00 -3.16191517E-13 0.00000000E+00
0.00000000E+00 -6.38534364E-14 0.00000000E+00
0.00000000E+00 -4.55191440E-14 0.00000000E+00
0.00000000E+00 -1.52822199E-13 0.00000000E+00
0.00000000E+00 -4.11759515E-12 0.00000000E+00
0.00000000E+00 -1.87683202E-13 0.00000000E+00
0.00000000E+00 -9.01057007E-13 0.00000000E+00
*************
Node: 2 
*************
          cl           yc           cu
0.00000000E+00 -1.08002496E-12 0.00000000E+00
0.00000000E+00 6.14619466E-13 0.00000000E+00
0.00000000E+00 6.82121026E-13 0.00000000E+00
0.00000000E+00 4.55080418E-13 0.00000000E+00
0.00000000E+00 1.05160325E-12 0.00000000E+00
0.00000000E+00 -2.84217094E-14 0.00000000E+00
0.00000000E+00 1.57183294E-14 0.00000000E+00
0.00000000E+00 2.13162821E-14 0.00000000E+00
0.00000000E+00 3.41948692E-14 0.00000000E+00
0.00000000E+00 -1.89518540E-15 0.00000000E+00
0.00000000E+00 -2.96429548E-14 0.00000000E+00
0.00000000E+00 7.02687908E-13 0.00000000E+00
0.00000000E+00 1.47437618E-13 0.00000000E+00
0.00000000E+00 5.36098943E-14 0.00000000E+00
0.00000000E+00 7.63833441E-14 0.00000000E+00
0.00000000E+00 1.94688016E-14 0.00000000E+00
0.00000000E+00 8.85957974E-14 0.00000000E+00
0.00000000E+00 -2.45942156E-13 0.00000000E+00
0.00000000E+00 7.95807864E-13 0.00000000E+00
0.00000000E+00 -2.13856710E-14 0.00000000E+00
0.00000000E+00 5.74651438E-13 0.00000000E+00
*************
Node: 3 
*************
          cl           yc           cu
0.00000000E+00 1.42108547E-13 0.00000000E+00
0.00000000E+00 -8.85513884E-13 0.00000000E+00
0.00000000E+00 -5.68434189E-12 0.00000000E+00
0.00000000E+00 -1.18571819E-13 0.00000000E+00
0.00000000E+00 9.52127266E-13 0.00000000E+00
0.00000000E+00 6.03073147E-13 0.00000000E+00
0.00000000E+00 1.59428026E-13 0.00000000E+00
0.00000000E+00 -5.68434189E-14 0.00000000E+00
0.00000000E+00 2.00062189E-13 0.00000000E+00
0.00000000E+00 -3.33561304E-14 0.00000000E+00
0.00000000E+00 -2.55351296E-15 0.00000000E+00
0.00000000E+00 -1.57063251E-12 0.00000000E+00
0.00000000E+00 -2.34479103E-13 0.00000000E+00
0.00000000E+00 -6.54511167E-14 0.00000000E+00
0.00000000E+00 -1.31450406E-13 0.00000000E+00
0.00000000E+00 -9.41651271E-15 0.00000000E+00
0.00000000E+00 -3.37507799E-14 0.00000000E+00
0.00000000E+00 7.86926080E-13 0.00000000E+00
0.00000000E+00 1.05160325E-12 0.00000000E+00
0.00000000E+00 6.05737682E-13 0.00000000E+00
0.00000000E+00 -1.05249143E-13 0.00000000E+00
*************
Node: 4 
*************
          cl           yc           cu
0.00000000E+00 8.52651283E-13 0.00000000E+00
0.00000000E+00 1.57918123E-12 0.00000000E+00
0.00000000E+00 -5.00222086E-12 0.00000000E+00
0.00000000E+00 1.34559031E-12 0.00000000E+00
0.00000000E+00 1.13686838E-13 0.00000000E+00
0.00000000E+00 -2.22932783E-13 0.00000000E+00
0.00000000E+00 -7.88258347E-14 0.00000000E+00
0.00000000E+00 -1.20792265E-13 0.00000000E+00
0.00000000E+00 4.17443857E-14 0.00000000E+00
0.00000000E+00 4.68037067E-14 0.00000000E+00
0.00000000E+00 -3.76365605E-14 0.00000000E+00
0.00000000E+00 1.52983182E-12 0.00000000E+00
0.00000000E+00 -4.08562073E-13 0.00000000E+00
0.00000000E+00 5.12541398E-14 0.00000000E+00
0.00000000E+00 -2.20268248E-13 0.00000000E+00
0.00000000E+00 -1.11356237E-14 0.00000000E+00
0.00000000E+00 -1.38777878E-14 0.00000000E+00
0.00000000E+00 -2.42139642E-13 0.00000000E+00
0.00000000E+00 4.26325641E-13 0.00000000E+00
0.00000000E+00 -3.27862737E-13 0.00000000E+00
0.00000000E+00 -3.14859250E-13 0.00000000E+00
*************
Node: 5 
*************
          cl           yc           cu
0.00000000E+00 9.37916411E-13 0.00000000E+00
0.00000000E+00 -1.34026124E-12 0.00000000E+00
0.00000000E+00 8.41282599E-12 0.00000000E+00
0.00000000E+00 -1.79789517E-12 0.00000000E+00
0.00000000E+00 -2.07478479E-12 0.00000000E+00
0.00000000E+00 -3.97015754E-13 0.00000000E+00
0.00000000E+00 -1.79634085E-13 0.00000000E+00
0.00000000E+00 1.98951966E-13 0.00000000E+00
0.00000000E+00 -2.54463117E-13 0.00000000E+00
0.00000000E+00 -6.64052147E-15 0.00000000E+00
0.00000000E+00 2.11497486E-14 0.00000000E+00
0.00000000E+00 -4.95894992E-13 0.00000000E+00
0.00000000E+00 5.54223334E-13 0.00000000E+00
0.00000000E+00 -2.11185236E-14 0.00000000E+00
0.00000000E+00 3.07309733E-13 0.00000000E+00
0.00000000E+00 1.91604545E-14 0.00000000E+00
0.00000000E+00 -3.20854454E-14 0.00000000E+00
0.00000000E+00 -4.34985381E-13 0.00000000E+00
0.00000000E+00 -2.23465690E-12 0.00000000E+00
0.00000000E+00 -3.69690389E-13 0.00000000E+00
0.00000000E+00 -2.67785794E-13 0.00000000E+00
*************
Node: 6 
*************
          cl           yc           cu
0.00000000E+00 -1.23634436E-12 0.00000000E+00
0.00000000E+00 1.69642078E-13 0.00000000E+00
0.00000000E+00 -4.77484718E-12 0.00000000E+00
0.00000000E+00 3.25073302E-13 0.00000000E+00
0.00000000E+00 1.84741111E-12 0.00000000E+00
0.00000000E+00 -1.64313008E-13 0.00000000E+00
0.00000000E+00 2.18713936E-14 0.00000000E+00
0.00000000E+00 -5.68434189E-14 0.00000000E+00
0.00000000E+00 1.33670852E-13 0.00000000E+00
0.00000000E+00 -3.84917792E-14 0.00000000E+00
0.00000000E+00 -1.70974346E-14 0.00000000E+00
0.00000000E+00 3.23088778E-13 0.00000000E+00
0.00000000E+00 -3.58824082E-13 0.00000000E+00
0.00000000E+00 7.17605229E-14 0.00000000E+00
0.00000000E+00 -2.06057393E-13 0.00000000E+00
0.00000000E+00 -7.30110417E-14 0.00000000E+00
0.00000000E+00 1.14686038E-13 0.00000000E+00
0.00000000E+00 -3.14248627E-13 0.00000000E+00
0.00000000E+00 1.85451654E-12 0.00000000E+00
0.00000000E+00 -1.68559611E-13 0.00000000E+00
0.00000000E+00 5.89972515E-13 0.00000000E+00
*************
Node: 7 
*************
          cl           yc           cu
0.00000000E+00 2.13162821E-13 0.00000000E+00
0.00000000E+00 -1.65822911E-12 0.00000000E+00
0.00000000E+00 6.59383659E-12 0.00000000E+00
0.00000000E+00 -1.90025773E-12 0.00000000E+00
0.00000000E+00 -1.22213351E-12 0.00000000E+00
0.00000000E+00 -9.65449942E-13 0.00000000E+00
0.00000000E+00 -6.17284002E-14 0.00000000E+00
0.00000000E+00 1.20792265E-13 0.00000000E+00
0.00000000E+00 -1.77191595E-13 0.00000000E+00
0.00000000E+00 -9.72052300E-15 0.00000000E+00
0.00000000E+00 3.87467836E-14 0.00000000E+00
0.00000000E+00 4.22439861E-14 0.00000000E+00
0.00000000E+00 2.89546165E-13 0.00000000E+00
0.00000000E+00 1.46289231E-14 0.00000000E+00
0.00000000E+00 1.52766688E-13 0.00000000E+00
0.00000000E+00 -2.20982087E-14 0.00000000E+00
0.00000000E+00 2.40918396E-14 0.00000000E+00
0.00000000E+00 -1.20259358E-12 0.00000000E+00
0.00000000E+00 -1.31805677E-12 0.00000000E+00
0.00000000E+00 -9.15809095E-13 0.00000000E+00
