*************
Phase: 1 	Variable: T 	Node: 1 
*************
          lb           xc           ub
0.00000000E+00 3.16182964E-03 1.00000000E+00
*************
Phase: 1 	Variable: Qe 	Node: 1 
*************
          lb           xc           ub
-6.00000000E-01 -2.12138704E-01 3.00000000E-01
-2.00000000E-01 1.34916570E-01 2.00000000E-01
7.00000000E-01 8.94163954E-01 9.00000000E-01
-5.00000000E-02 3.73461157E-02 5.00000000E-02
-5.00000000E-01 -4.13124653E-01 5.00000000E-01
-5.00000000E-02 2.28633428E-02 5.00000000E-02
-6.98132000E-01 -3.13097731E-06 6.98132000E-01
-2.62000000E-01 -2.47445589E-05 5.24000000E-01
-6.63225000E-01 -1.42976247E-05 6.63225000E-01
-8.00000000E-01 -5.58160457E-02 8.00000000E-01
-1.30000000E+00 5.00685131E-01 1.00000000E+00
-5.23599000E-01 -2.93565403E-02 5.23599000E-01
-1.72072000E+00 4.01666507E-01 5.24821000E-01
-1.74533000E-01 -6.34521789E-02 1.22173000E+00
0.00000000E+00 5.81060499E-01 2.38569000E+00
-8.00000000E-01 5.68304788E-02 8.00000000E-01
-1.30000000E+00 -1.71755246E-01 1.00000000E+00
-5.23599000E-01 -8.61227835E-02 5.23599000E-01
-1.72072000E+00 1.58082938E-01 5.24821000E-01
-1.22173000E+00 1.55475917E-02 1.74533000E-01
0.00000000E+00 4.35070381E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 2 
*************
          lb           xc           ub
-6.00000000E-01 -2.12031543E-01 3.00000000E-01
-2.00000000E-01 1.34910691E-01 2.00000000E-01
7.00000000E-01 8.94165126E-01 9.00000000E-01
-5.00000000E-02 3.73637883E-02 5.00000000E-02
-5.00000000E-01 -4.10659311E-01 5.00000000E-01
-5.00000000E-02 2.27800101E-02 5.00000000E-02
-6.98132000E-01 1.66764499E-05 6.98132000E-01
-2.62000000E-01 -3.16602290E-05 5.24000000E-01
-6.63225000E-01 -1.26984230E-05 6.63225000E-01
-8.00000000E-01 -5.58504963E-02 8.00000000E-01
-1.30000000E+00 5.01072807E-01 1.00000000E+00
-5.23599000E-01 -2.90395067E-02 5.23599000E-01
-1.72072000E+00 4.02235207E-01 5.24821000E-01
-1.74533000E-01 -6.50114144E-02 1.22173000E+00
0.00000000E+00 5.81273468E-01 2.38569000E+00
-8.00000000E-01 5.69648171E-02 8.00000000E-01
-1.30000000E+00 -1.70742083E-01 1.00000000E+00
-5.23599000E-01 -8.61701548E-02 5.23599000E-01
-1.72072000E+00 1.57729709E-01 5.24821000E-01
-1.22173000E+00 1.56452613E-02 1.74533000E-01
0.00000000E+00 4.35172444E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 3 
*************
          lb           xc           ub
-6.00000000E-01 -2.11924435E-01 3.00000000E-01
-2.00000000E-01 1.34906577E-01 2.00000000E-01
7.00000000E-01 8.94189314E-01 9.00000000E-01
-5.00000000E-02 3.74036452E-02 5.00000000E-02
-5.00000000E-01 -4.07482147E-01 5.00000000E-01
-5.00000000E-02 2.26742186E-02 5.00000000E-02
-6.98132000E-01 3.23233347E-05 6.98132000E-01
-2.62000000E-01 -1.98514955E-05 5.24000000E-01
-6.63225000E-01 -1.21326912E-05 6.63225000E-01
-8.00000000E-01 -5.58937507E-02 8.00000000E-01
-1.30000000E+00 5.01447864E-01 1.00000000E+00
-5.23599000E-01 -2.87287766E-02 5.23599000E-01
-1.72072000E+00 4.02807454E-01 5.24821000E-01
-1.74533000E-01 -6.65693230E-02 1.22173000E+00
0.00000000E+00 5.81488850E-01 2.38569000E+00
-8.00000000E-01 5.70717069E-02 8.00000000E-01
-1.30000000E+00 -1.69687059E-01 1.00000000E+00
-5.23599000E-01 -8.62024676E-02 5.23599000E-01
-1.72072000E+00 1.57991263E-01 5.24821000E-01
-1.22173000E+00 1.57212794E-02 1.74533000E-01
0.00000000E+00 4.35514384E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 4 
*************
          lb           xc           ub
-6.00000000E-01 -2.11817295E-01 3.00000000E-01
-2.00000000E-01 1.34901576E-01 2.00000000E-01
7.00000000E-01 8.94202523E-01 9.00000000E-01
-5.00000000E-02 3.74119247E-02 5.00000000E-02
-5.00000000E-01 -4.03683217E-01 5.00000000E-01
-5.00000000E-02 2.25860621E-02 5.00000000E-02
-6.98132000E-01 4.48088551E-05 6.98132000E-01
-2.62000000E-01 -1.53294518E-05 5.24000000E-01
-6.63225000E-01 -1.31588867E-05 6.63225000E-01
-8.00000000E-01 -5.59410245E-02 8.00000000E-01
-1.30000000E+00 5.01832511E-01 1.00000000E+00
-5.23599000E-01 -2.84282824E-02 5.23599000E-01
-1.72072000E+00 4.03696205E-01 5.24821000E-01
-1.74533000E-01 -6.79830630E-02 1.22173000E+00
0.00000000E+00 5.81719040E-01 2.38569000E+00
-8.00000000E-01 5.71809105E-02 8.00000000E-01
-1.30000000E+00 -1.68891155E-01 1.00000000E+00
-5.23599000E-01 -8.62493636E-02 5.23599000E-01
-1.72072000E+00 1.63053826E-01 5.24821000E-01
-1.22173000E+00 1.58236178E-02 1.74533000E-01
0.00000000E+00 4.36186371E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 5 
*************
          lb           xc           ub
-6.00000000E-01 -2.11710213E-01 3.00000000E-01
-2.00000000E-01 1.34898338E-01 2.00000000E-01
7.00000000E-01 8.94238930E-01 9.00000000E-01
-5.00000000E-02 3.74886091E-02 5.00000000E-02
-5.00000000E-01 -4.06601754E-01 5.00000000E-01
-5.00000000E-02 2.24874725E-02 5.00000000E-02
-6.98132000E-01 6.82853363E-05 6.98132000E-01
-2.62000000E-01 -1.53646861E-05 5.24000000E-01
-6.63225000E-01 -9.09023759E-06 6.63225000E-01
-8.00000000E-01 -5.59771673E-02 8.00000000E-01
-1.30000000E+00 5.02103343E-01 1.00000000E+00
-5.23599000E-01 -2.81531964E-02 5.23599000E-01
-1.72072000E+00 4.04631690E-01 5.24821000E-01
-1.74533000E-01 -6.93856188E-02 1.22173000E+00
0.00000000E+00 5.81911933E-01 2.38569000E+00
-8.00000000E-01 5.72314032E-02 8.00000000E-01
-1.30000000E+00 -1.68169341E-01 1.00000000E+00
-5.23599000E-01 -8.62618575E-02 5.23599000E-01
-1.72072000E+00 1.57833281E-01 5.24821000E-01
-1.22173000E+00 1.58837547E-02 1.74533000E-01
0.00000000E+00 4.35857764E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 6 
*************
          lb           xc           ub
-6.00000000E-01 -2.11603102E-01 3.00000000E-01
-2.00000000E-01 1.34894215E-01 2.00000000E-01
7.00000000E-01 8.94264980E-01 9.00000000E-01
-5.00000000E-02 3.75415348E-02 5.00000000E-02
-5.00000000E-01 -4.06619983E-01 5.00000000E-01
-5.00000000E-02 2.24098331E-02 5.00000000E-02
-6.98132000E-01 9.13079906E-05 6.98132000E-01
-2.62000000E-01 -2.62483669E-05 5.24000000E-01
-6.63225000E-01 -5.64980726E-06 6.63225000E-01
-8.00000000E-01 -5.60187801E-02 8.00000000E-01
-1.30000000E+00 5.02391771E-01 1.00000000E+00
-5.23599000E-01 -2.78889159E-02 5.23599000E-01
-1.72072000E+00 4.06989274E-01 5.24821000E-01
-1.74533000E-01 -7.06247187E-02 1.22173000E+00
0.00000000E+00 5.82120859E-01 2.38569000E+00
-8.00000000E-01 5.72979089E-02 8.00000000E-01
-1.30000000E+00 -1.67798030E-01 1.00000000E+00
-5.23599000E-01 -8.62813610E-02 5.23599000E-01
-1.72072000E+00 1.55990131E-01 5.24821000E-01
-1.22173000E+00 1.59716052E-02 1.74533000E-01
0.00000000E+00 4.35942430E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 7 
*************
          lb           xc           ub
-6.00000000E-01 -2.11496051E-01 3.00000000E-01
-2.00000000E-01 1.34891854E-01 2.00000000E-01
7.00000000E-01 8.94314498E-01 9.00000000E-01
-5.00000000E-02 3.75941816E-02 5.00000000E-02
-5.00000000E-01 -4.06568737E-01 5.00000000E-01
-5.00000000E-02 2.23061392E-02 5.00000000E-02
-6.98132000E-01 1.04698079E-04 6.98132000E-01
-2.62000000E-01 -1.40595800E-05 5.24000000E-01
-6.63225000E-01 -4.93590894E-06 6.63225000E-01
-8.00000000E-01 -5.60609682E-02 8.00000000E-01
-1.30000000E+00 5.02641959E-01 1.00000000E+00
-5.23599000E-01 -2.76325393E-02 5.23599000E-01
-1.72072000E+00 4.09353056E-01 5.24821000E-01
-1.74533000E-01 -7.18617296E-02 1.22173000E+00
0.00000000E+00 5.82326317E-01 2.38569000E+00
-8.00000000E-01 5.73181701E-02 8.00000000E-01
-1.30000000E+00 -1.67419611E-01 1.00000000E+00
-5.23599000E-01 -8.63130303E-02 5.23599000E-01
-1.72072000E+00 1.54167120E-01 5.24821000E-01
-1.22173000E+00 1.60343582E-02 1.74533000E-01
0.00000000E+00 4.35974254E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 8 
*************
          lb           xc           ub
-6.00000000E-01 -2.11388970E-01 3.00000000E-01
-2.00000000E-01 1.34888607E-01 2.00000000E-01
7.00000000E-01 8.94354632E-01 9.00000000E-01
-5.00000000E-02 3.76455308E-02 5.00000000E-02
-5.00000000E-01 -4.06737946E-01 5.00000000E-01
-5.00000000E-02 2.22137636E-02 5.00000000E-02
-6.98132000E-01 1.22307564E-04 6.98132000E-01
-2.62000000E-01 -1.34871823E-05 5.24000000E-01
-6.63225000E-01 -3.12934363E-06 6.63225000E-01
-8.00000000E-01 -5.61028505E-02 8.00000000E-01
-1.30000000E+00 5.02894513E-01 1.00000000E+00
-5.23599000E-01 -2.73835620E-02 5.23599000E-01
-1.72072000E+00 4.12681324E-01 5.24821000E-01
-1.74533000E-01 -7.30484392E-02 1.22173000E+00
0.00000000E+00 5.82532608E-01 2.38569000E+00
-8.00000000E-01 5.73555307E-02 8.00000000E-01
-1.30000000E+00 -1.67064489E-01 1.00000000E+00
-5.23599000E-01 -8.63409029E-02 5.23599000E-01
-1.72072000E+00 1.52572698E-01 5.24821000E-01
-1.22173000E+00 1.61076308E-02 1.74533000E-01
0.00000000E+00 4.35931678E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 9 
*************
          lb           xc           ub
-6.00000000E-01 -2.11281953E-01 3.00000000E-01
-2.00000000E-01 1.34887123E-01 2.00000000E-01
7.00000000E-01 8.94418641E-01 9.00000000E-01
-5.00000000E-02 3.76976979E-02 5.00000000E-02
-5.00000000E-01 -4.06501788E-01 5.00000000E-01
-5.00000000E-02 2.21110647E-02 5.00000000E-02
-6.98132000E-01 1.33410742E-04 6.98132000E-01
-2.62000000E-01 3.25180115E-07 5.24000000E-01
-6.63225000E-01 -2.53679123E-06 6.63225000E-01
-8.00000000E-01 -5.61460249E-02 8.00000000E-01
-1.30000000E+00 5.03134262E-01 1.00000000E+00
-5.23599000E-01 -2.71369484E-02 5.23599000E-01
-1.72072000E+00 4.16008849E-01 5.24821000E-01
-1.74533000E-01 -7.42348231E-02 1.22173000E+00
0.00000000E+00 5.82741662E-01 2.38569000E+00
-8.00000000E-01 5.73575576E-02 8.00000000E-01
-1.30000000E+00 -1.66685860E-01 1.00000000E+00
-5.23599000E-01 -8.63713821E-02 5.23599000E-01
-1.72072000E+00 1.51344352E-01 5.24821000E-01
-1.22173000E+00 1.61716308E-02 1.74533000E-01
0.00000000E+00 4.36053175E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 10 
*************
          lb           xc           ub
-6.00000000E-01 -2.11174907E-01 3.00000000E-01
-2.00000000E-01 1.34884753E-01 2.00000000E-01
7.00000000E-01 8.94474755E-01 9.00000000E-01
-5.00000000E-02 3.77501234E-02 5.00000000E-02
-5.00000000E-01 -4.06566540E-01 5.00000000E-01
-5.00000000E-02 2.20094158E-02 5.00000000E-02
-6.98132000E-01 1.47882187E-04 6.98132000E-01
-2.62000000E-01 9.97948753E-06 5.24000000E-01
-6.63225000E-01 -1.39346682E-06 6.63225000E-01
-8.00000000E-01 -5.61878244E-02 8.00000000E-01
-1.30000000E+00 5.03368578E-01 1.00000000E+00
-5.23599000E-01 -2.68945565E-02 5.23599000E-01
-1.72072000E+00 4.18874718E-01 5.24821000E-01
-1.74533000E-01 -7.54092885E-02 1.22173000E+00
0.00000000E+00 5.82949016E-01 2.38569000E+00
-8.00000000E-01 5.73737170E-02 8.00000000E-01
-1.30000000E+00 -1.66356160E-01 1.00000000E+00
-5.23599000E-01 -8.64029890E-02 5.23599000E-01
-1.72072000E+00 1.50520524E-01 5.24821000E-01
-1.22173000E+00 1.62347725E-02 1.74533000E-01
0.00000000E+00 4.36016640E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 11 
*************
          lb           xc           ub
-6.00000000E-01 -2.11067926E-01 3.00000000E-01
-2.00000000E-01 1.34884145E-01 2.00000000E-01
7.00000000E-01 8.94555309E-01 9.00000000E-01
-5.00000000E-02 3.77975623E-02 5.00000000E-02
-5.00000000E-01 -4.06401871E-01 5.00000000E-01
-5.00000000E-02 2.19187442E-02 5.00000000E-02
-6.98132000E-01 1.55482570E-04 6.98132000E-01
-2.62000000E-01 1.92070600E-05 5.24000000E-01
-6.63225000E-01 -1.13549830E-06 6.63225000E-01
-8.00000000E-01 -5.62317394E-02 8.00000000E-01
-1.30000000E+00 5.03618819E-01 1.00000000E+00
-5.23599000E-01 -2.66496407E-02 5.23599000E-01
-1.72072000E+00 4.21729321E-01 5.24821000E-01
-1.74533000E-01 -7.65846100E-02 1.22173000E+00
0.00000000E+00 5.83161863E-01 2.38569000E+00
-8.00000000E-01 5.73615291E-02 8.00000000E-01
-1.30000000E+00 -1.66013726E-01 1.00000000E+00
-5.23599000E-01 -8.64293737E-02 5.23599000E-01
-1.72072000E+00 1.49944847E-01 5.24821000E-01
-1.22173000E+00 1.63105363E-02 1.74533000E-01
0.00000000E+00 4.36148582E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 12 
*************
          lb           xc           ub
-6.00000000E-01 -2.10960918E-01 3.00000000E-01
-2.00000000E-01 1.34882651E-01 2.00000000E-01
7.00000000E-01 8.94630270E-01 9.00000000E-01
-5.00000000E-02 3.78468147E-02 5.00000000E-02
-5.00000000E-01 -4.06418632E-01 5.00000000E-01
-5.00000000E-02 2.18243712E-02 5.00000000E-02
-6.98132000E-01 1.66617726E-04 6.98132000E-01
-2.62000000E-01 2.83953384E-05 5.24000000E-01
-6.63225000E-01 -4.85473933E-07 6.63225000E-01
-8.00000000E-01 -5.62756848E-02 8.00000000E-01
-1.30000000E+00 5.03863448E-01 1.00000000E+00
-5.23599000E-01 -2.64084700E-02 5.23599000E-01
-1.72072000E+00 4.23482264E-01 5.24821000E-01
-1.74533000E-01 -7.77296651E-02 1.22173000E+00
0.00000000E+00 5.83372632E-01 2.38569000E+00
-8.00000000E-01 5.73619189E-02 8.00000000E-01
-1.30000000E+00 -1.65713847E-01 1.00000000E+00
-5.23599000E-01 -8.64582038E-02 5.23599000E-01
-1.72072000E+00 1.49473519E-01 5.24821000E-01
-1.22173000E+00 1.63813858E-02 1.74533000E-01
0.00000000E+00 4.36158922E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 13 
*************
          lb           xc           ub
-6.00000000E-01 -2.10853977E-01 3.00000000E-01
-2.00000000E-01 1.34882919E-01 2.00000000E-01
7.00000000E-01 8.94730436E-01 9.00000000E-01
-5.00000000E-02 3.78901479E-02 5.00000000E-02
-5.00000000E-01 -4.06266691E-01 5.00000000E-01
-5.00000000E-02 2.17404347E-02 5.00000000E-02
-6.98132000E-01 1.70412765E-04 6.98132000E-01
-2.62000000E-01 3.61950078E-05 5.24000000E-01
-6.63225000E-01 -4.99362488E-07 6.63225000E-01
-8.00000000E-01 -5.63158827E-02 8.00000000E-01
-1.30000000E+00 5.04114359E-01 1.00000000E+00
-5.23599000E-01 -2.61705935E-02 5.23599000E-01
-1.72072000E+00 4.25226189E-01 5.24821000E-01
-1.74533000E-01 -7.88732995E-02 1.22173000E+00
0.00000000E+00 5.83587992E-01 2.38569000E+00
-8.00000000E-01 5.73371725E-02 8.00000000E-01
-1.30000000E+00 -1.65409980E-01 1.00000000E+00
-5.23599000E-01 -8.64826054E-02 5.23599000E-01
-1.72072000E+00 1.49184526E-01 5.24821000E-01
-1.22173000E+00 1.64606209E-02 1.74533000E-01
0.00000000E+00 4.36292520E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 14 
*************
          lb           xc           ub
-6.00000000E-01 -2.10747008E-01 3.00000000E-01
-2.00000000E-01 1.34882302E-01 2.00000000E-01
7.00000000E-01 8.94828692E-01 9.00000000E-01
-5.00000000E-02 3.79349424E-02 5.00000000E-02
-5.00000000E-01 -4.06192909E-01 5.00000000E-01
-5.00000000E-02 2.16533540E-02 5.00000000E-02
-6.98132000E-01 1.77872673E-04 6.98132000E-01
-2.62000000E-01 4.47014692E-05 5.24000000E-01
-6.63225000E-01 -2.98569629E-07 6.63225000E-01
-8.00000000E-01 -5.63597280E-02 8.00000000E-01
-1.30000000E+00 5.04363835E-01 1.00000000E+00
-5.23599000E-01 -2.59431887E-02 5.23599000E-01
-1.72072000E+00 4.26663426E-01 5.24821000E-01
-1.74533000E-01 -7.99064638E-02 1.22173000E+00
0.00000000E+00 5.83801756E-01 2.38569000E+00
-8.00000000E-01 5.73240547E-02 8.00000000E-01
-1.30000000E+00 -1.65142067E-01 1.00000000E+00
-5.23599000E-01 -8.65087453E-02 5.23599000E-01
-1.72072000E+00 1.48930083E-01 5.24821000E-01
-1.22173000E+00 1.65384895E-02 1.74533000E-01
0.00000000E+00 4.36366460E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 15 
*************
          lb           xc           ub
-6.00000000E-01 -2.10640109E-01 3.00000000E-01
-2.00000000E-01 1.34883446E-01 2.00000000E-01
7.00000000E-01 8.94953189E-01 9.00000000E-01
-5.00000000E-02 3.79761176E-02 5.00000000E-02
-5.00000000E-01 -4.06047081E-01 5.00000000E-01
-5.00000000E-02 2.15719558E-02 5.00000000E-02
-6.98132000E-01 1.77956898E-04 6.98132000E-01
-2.62000000E-01 5.13635250E-05 5.24000000E-01
-6.63225000E-01 -3.09223344E-07 6.63225000E-01
-8.00000000E-01 -5.63920125E-02 8.00000000E-01
-1.30000000E+00 5.04597407E-01 1.00000000E+00
-5.23599000E-01 -2.57269940E-02 5.23599000E-01
-1.72072000E+00 4.28100051E-01 5.24821000E-01
-1.74533000E-01 -8.09352211E-02 1.22173000E+00
0.00000000E+00 5.84018802E-01 2.38569000E+00
-8.00000000E-01 5.72873671E-02 8.00000000E-01
-1.30000000E+00 -1.64884785E-01 1.00000000E+00
-5.23599000E-01 -8.65327578E-02 5.23599000E-01
-1.72072000E+00 1.48747796E-01 5.24821000E-01
-1.22173000E+00 1.66136262E-02 1.74533000E-01
0.00000000E+00 4.36478218E-01 2.38569000E+00
*************
Phase: 1 	Variable: Qe 	Node: 16 
*************
          lb           xc           ub
-6.00000000E-01 -2.10533184E-01 3.00000000E-01
-2.00000000E-01 1.34883706E-01 2.00000000E-01
7.00000000E-01 8.95082034E-01 9.00000000E-01
-5.00000000E-02 3.80171056E-02 5.00000000E-02
-5.00000000E-01 -4.05924296E-01 5.00000000E-01
-5.00000000E-02 2.14898326E-02 5.00000000E-02
-6.98132000E-01 1.81631907E-04 6.98132000E-01
-2.62000000E-01 5.89129561E-05 5.24000000E-01
-6.63225000E-01 -3.77526277E-07 6.63225000E-01
-8.00000000E-01 -5.64317919E-02 8.00000000E-01
-1.30000000E+00 5.04836584E-01 1.00000000E+00
-5.23599000E-01 -2.55246596E-02 5.23599000E-01
-1.72072000E+00 4.29766466E-01 5.24821000E-01
