**************************************************
Checking constraint violation of RightStance:
***************************************
Constraint: timeDuration 	Node: 1 
---------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 9.95220731E-01 1.00000000E+00
***************************************
Constraint: intX 	Node: 2 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.22335607E-07 1.00000000E-04
-1.00000000E-04 -3.27350050E-08 1.00000000E-04
-1.00000000E-04 -1.19690404E-06 1.00000000E-04
-1.00000000E-04 3.79394513E-07 1.00000000E-04
-1.00000000E-04 -1.61643326E-05 1.00000000E-04
-1.00000000E-04 -1.32186336E-05 1.00000000E-04
-1.00000000E-04 -6.55779839E-14 1.00000000E-04
-1.00000000E-04 9.01351459E-14 1.00000000E-04
-1.00000000E-04 -2.45197169E-14 1.00000000E-04
-1.00000000E-04 -6.07729677E-07 1.00000000E-04
-1.00000000E-04 -2.51000930E-06 1.00000000E-04
-1.00000000E-04 4.40443129E-06 1.00000000E-04
-1.00000000E-04 -1.96367190E-05 1.00000000E-04
-1.00000000E-04 1.13707493E-05 1.00000000E-04
-1.00000000E-04 3.77729068E-05 1.00000000E-04
-1.00000000E-04 3.82816203E-08 1.00000000E-04
-1.00000000E-04 -8.86566725E-08 1.00000000E-04
-1.00000000E-04 -3.68097281E-07 1.00000000E-04
-1.00000000E-04 1.54447639E-05 1.00000000E-04
-1.00000000E-04 1.31517470E-05 1.00000000E-04
-1.00000000E-04 8.09139927E-07 1.00000000E-04
-1.00000000E-04 1.08354235E-06 1.00000000E-04
-1.00000000E-04 1.95294440E-07 1.00000000E-04
-1.00000000E-04 -2.17413865E-06 1.00000000E-04
-1.00000000E-04 8.24735069E-07 1.00000000E-04
-1.00000000E-04 -1.89141705E-05 1.00000000E-04
-1.00000000E-04 -2.47857167E-05 1.00000000E-04
-1.00000000E-04 -1.68515505E-14 1.00000000E-04
-1.00000000E-04 3.21509241E-15 1.00000000E-04
-1.00000000E-04 1.35500772E-14 1.00000000E-04
-1.00000000E-04 3.65879585E-05 1.00000000E-04
-1.00000000E-04 -1.55087578E-05 1.00000000E-04
-1.00000000E-04 -2.08840521E-05 1.00000000E-04
-1.00000000E-04 -1.81469862E-05 1.00000000E-04
-1.00000000E-04 7.75507855E-06 1.00000000E-04
-1.00000000E-04 5.04658224E-05 1.00000000E-04
-1.00000000E-04 2.83561369E-07 1.00000000E-04
-1.00000000E-04 -2.58481782E-06 1.00000000E-04
-1.00000000E-04 -1.03356982E-06 1.00000000E-04
-1.00000000E-04 1.44366002E-05 1.00000000E-04
-1.00000000E-04 2.46183102E-05 1.00000000E-04
-1.00000000E-04 7.06403569E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 4 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 1.53658187E-07 1.00000000E-04
-1.00000000E-04 3.56161338E-08 1.00000000E-04
-1.00000000E-04 8.01138221E-08 1.00000000E-04
-1.00000000E-04 3.21995683E-09 1.00000000E-04
-1.00000000E-04 1.94832268E-06 1.00000000E-04
-1.00000000E-04 -1.66502251E-07 1.00000000E-04
-1.00000000E-04 2.88645284E-14 1.00000000E-04
-1.00000000E-04 -4.51153963E-14 1.00000000E-04
-1.00000000E-04 1.62932801E-14 1.00000000E-04
-1.00000000E-04 4.23699236E-06 1.00000000E-04
-1.00000000E-04 -2.13509959E-06 1.00000000E-04
-1.00000000E-04 -3.27480881E-06 1.00000000E-04
-1.00000000E-04 3.04511254E-06 1.00000000E-04
-1.00000000E-04 -1.37588065E-06 1.00000000E-04
-1.00000000E-04 -2.99923911E-06 1.00000000E-04
-1.00000000E-04 2.81209022E-08 1.00000000E-04
-1.00000000E-04 -2.74561089E-07 1.00000000E-04
-1.00000000E-04 -3.46598361E-08 1.00000000E-04
-1.00000000E-04 -2.28792016E-06 1.00000000E-04
-1.00000000E-04 1.62302897E-07 1.00000000E-04
-1.00000000E-04 6.14142799E-07 1.00000000E-04
-1.00000000E-04 8.31767117E-07 1.00000000E-04
-1.00000000E-04 2.57626983E-07 1.00000000E-04
-1.00000000E-04 -1.42833338E-06 1.00000000E-04
-1.00000000E-04 -3.48950116E-07 1.00000000E-04
-1.00000000E-04 -4.96432271E-06 1.00000000E-04
-1.00000000E-04 -1.32954118E-05 1.00000000E-04
-1.00000000E-04 -4.07346406E-15 1.00000000E-04
-1.00000000E-04 1.46657062E-14 1.00000000E-04
-1.00000000E-04 -1.06155530E-14 1.00000000E-04
-1.00000000E-04 2.09967595E-05 1.00000000E-04
-1.00000000E-04 -1.07644891E-05 1.00000000E-04
-1.00000000E-04 -1.64096671E-05 1.00000000E-04
-1.00000000E-04 -3.25642596E-06 1.00000000E-04
-1.00000000E-04 6.32716110E-06 1.00000000E-04
-1.00000000E-04 1.85397918E-05 1.00000000E-04
-1.00000000E-04 1.81924267E-07 1.00000000E-04
-1.00000000E-04 -2.26165205E-06 1.00000000E-04
-1.00000000E-04 1.84359375E-07 1.00000000E-04
-1.00000000E-04 1.92536672E-06 1.00000000E-04
-1.00000000E-04 1.33469166E-05 1.00000000E-04
-1.00000000E-04 5.29964096E-06 1.00000000E-04
***************************************
Constraint: intX 	Node: 6 
---------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 2.02036817E-07 1.00000000E-04
-1.00000000E-04 4.06343816E-08 1.00000000E-04
-1.00000000E-04 -7.27052777E-09 1.00000000E-04
-1.00000000E-04 -7.04957924E-08 1.00000000E-04
-1.00000000E-04 1.21398425E-06 1.00000000E-04
-1.00000000E-04 -1.44694188E-06 1.00000000E-04
-1.00000000E-04 6.57057894E-14 1.00000000E-04
-1.00000000E-04 -1.11136334E-13 1.00000000E-04
-1.00000000E-04 4.59146186E-14 1.00000000E-04
-1.00000000E-04 2.74092075E-06 1.00000000E-04
-1.00000000E-04 -2.89889774E-06 1.00000000E-04
-1.00000000E-04 -2.32475618E-06 1.00000000E-04
-1.00000000E-04 2.08131173E-06 1.00000000E-04
-1.00000000E-04 6.78229304E-07 1.00000000E-04
-1.00000000E-04 -4.23540292E-07 1.00000000E-04
-1.00000000E-04 2.95586729E-08 1.00000000E-04
-1.00000000E-04 -2.99868205E-07 1.00000000E-04
-1.00000000E-04 3.84056100E-08 1.00000000E-04
